@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 {0,1,2}

@data
55,'2018/07/07 11:39:40:464',4,1.279621,1.123154,-0.65945,-1.819634,-0.317891,1.775849,1.759356,1.041706,0.132351,0.645284,0.179985,0.435042,-0.056791,-0.034707,-0.418772,-0.456145,?
56,'2018/07/07 11:39:40:719',4,-0.957788,-0.6463,0.247107,0.681344,-0.809151,-1.008539,-0.149402,1.028426,-0.118819,-0.585315,-0.714529,0.07168,0.450134,0.155987,0.271878,0.093689,?
57,'2018/07/07 11:39:41:481',4,0.432635,-0.134671,-1.093937,-0.114919,0.551865,0.008274,-0.06028,0.205469,0.641994,0.580807,-0.570592,-0.678375,-0.627064,-0.169543,-0.245685,-0.378426,?
58,'2018/07/07 11:39:41:735',4,1.048363,0.187469,-1.34808,-1.182192,-1.019568,-0.591032,-0.639636,-0.690071,0.192772,0.714875,0.309141,0.356454,-0.277176,-0.049755,0.099121,0.107992,?
59,'2018/07/07 11:39:41:987',4,0.43095,-0.356153,0.374508,0.145412,-0.481619,-0.101331,-0.153198,-0.054257,-0.589377,-0.425404,0.588135,0.540093,0.336348,0.091463,0.283909,0.366861,?
60,'2018/07/07 11:39:42:242',4,-2.106147,-0.795636,0.449959,-0.423062,-1.587958,-1.875659,-0.477066,-0.740717,-1.541176,-1.196339,-0.616192,-1.327217,-0.816738,-0.032316,0.652475,0.455384,?
61,'2018/07/07 11:39:42:497',4,-1.106319,-0.549825,-0.328732,-0.344264,0.672293,0.458944,0.143972,0.117573,-0.154649,-0.097777,0.565144,0.18544,-0.030267,-0.872592,-0.713422,-0.030251,?
62,'2018/07/07 11:39:43:006',4,-0.064713,0.654431,-0.09639,-1.873984,-1.510342,0.738208,0.67208,-0.551658,0.157437,1.070765,0.12429,-0.326401,-0.042796,0.404001,0.231116,0.106425,?
63,'2018/07/07 11:39:43:258',4,0.569773,-0.86462,-0.235953,0.128774,0.746842,-0.054582,-0.617786,0.0165,-0.572307,-0.614802,0.052793,0.845586,0.784685,0.294333,-0.274694,-0.300173,?
64,'2018/07/07 11:47:31:447',5,0.291758,-0.738085,-0.221331,1.45136,1.31823,1.306087,0.653867,-0.93016,-0.634496,-0.102035,0.014289,0.503323,0.619953,0.259445,-0.196401,-0.133121,?
